config,workload,concurrency,repeat,n,p50_ms,p95_ms,p99_ms,avg_ms,req_per_sec,ok,err,cpu_pct,url
cg_static_sqli,plain,50,5,10000,4.2,5.8999999999999995,335.3,18.3,1692.4748,10000,0,116.1,http://localhost/customapp/product?id=1
cg_static_sqli,token,1,1,10000,1.0,1.2,1.4,1.0,948.2173,10000,0,69.5,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,1,2,10000,1.0,1.2,1.3,1.0,968.742,10000,0,70.4,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,1,3,10000,1.0,1.2,1.8,1.1,935.8703,10000,0,69.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,1,4,10000,1.0,1.2,1.6,1.1,942.277,10000,0,68.9,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,1,5,10000,1.0,1.2,2.2,1.1,941.7619,10000,0,69.8,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,10,1,10000,3.9,5.8,6.8999999999999995,4.8999999999999995,1826.81,10000,0,135.7,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,10,2,10000,3.9,5.7,6.7,4.8999999999999995,1836.7398,10000,0,135.9,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,10,3,10000,3.8,5.7,6.8,4.7,1846.7943,10000,0,135.9,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,10,4,10000,3.9,5.8,6.8,4.8999999999999995,1730.8022,10000,0,126.5,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,10,5,10000,4.0,5.8,6.8,4.8999999999999995,1831.8439,10000,0,135.0,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,50,1,10000,4.3,6.1000000000000005,1014.4,20.7,1785.633,10000,0,129.4,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,50,2,10000,4.2,6.0,192.1,17.8,1710.8452,10000,0,124.6,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,50,3,10000,4.2,6.1000000000000005,211.4,18.3,1800.5912,10000,0,130.3,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
cg_static_sqli,token,50,4,10000,4.3,6.1000000000000005,14.1,17.9,1694.077,10000,0,123.0,http://localhost/customapp/product?id=1&note=a%3Cb%20and%20c%3Ed
