family,target,page,backend,attack_source_model,shift_type,eps,technique,n_attack_seeds,mean_of_means,sd,median,min,max,pooled_block_rate,blocked_sum,total_sum
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Adaptive,5,97.32,4.78,99.7,88.9,100.0,97.6,12786,13100
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Static,5,97.44,5.27,99.93,88.03,100.0,97.75,12805,13100
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Adaptive,5,95.48,7.38,99.63,82.85,100.0,95.93,12567,13100
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Static,5,97.7,4.76,100.0,89.21,100.0,97.98,12836,13100
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.5,CG-Adaptive,5,97.31,4.8,99.7,88.86,100.0,97.6,12785,13100
XSS,bwapp,xss_eval,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.5,CG-Static,5,97.55,4.97,99.85,88.68,100.0,97.85,12818,13100
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.1,CG-Adaptive,5,93.1,8.08,97.38,79.31,98.94,93.29,17398,18650
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.1,CG-Static,5,93.93,8.5,97.49,79.25,99.73,94.12,17554,18650
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.2,CG-Adaptive,5,91.88,8.14,95.47,78.29,98.12,92.07,17171,18650
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.2,CG-Static,5,93.68,8.89,97.44,78.32,99.73,93.89,17510,18650
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.3,CG-Adaptive,5,93.15,7.97,97.33,79.54,98.94,93.34,17408,18650
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.3,CG-Static,5,93.8,8.7,97.46,78.79,99.73,94.01,17532,18650
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.4,CG-Adaptive,5,90.08,9.17,93.59,75.03,97.27,90.3,16841,18650
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.4,CG-Static,5,93.68,8.89,97.44,78.32,99.73,93.89,17510,18650
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.5,CG-Adaptive,5,91.4,8.83,95.44,76.59,98.09,91.61,17086,18650
XSS,customxss,calc,PHP,anthropic/claude-opus-4.7,model_shift,0.5,CG-Static,5,93.83,8.65,97.46,78.9,99.73,94.03,17536,18650
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.1,CG-Adaptive,5,99.66,0.73,100.0,98.35,100.0,99.64,16490,16550
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.1,CG-Static,5,99.82,0.41,100.0,99.09,100.0,99.81,16518,16550
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.2,CG-Adaptive,5,99.52,1.0,100.0,97.73,100.0,99.49,16466,16550
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.2,CG-Static,5,99.78,0.48,100.0,98.92,100.0,99.77,16512,16550
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.3,CG-Adaptive,5,99.65,0.76,100.0,98.3,100.0,99.63,16488,16550
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.3,CG-Static,5,99.76,0.53,100.0,98.81,100.0,99.75,16508,16550
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.4,CG-Adaptive,5,99.36,1.31,99.97,97.02,100.0,99.32,16438,16550
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.4,CG-Static,5,99.77,0.51,100.0,98.86,100.0,99.76,16510,16550
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.5,CG-Adaptive,5,99.49,1.07,100.0,97.59,100.0,99.46,16461,16550
XSS,customxss,search,PHP,anthropic/claude-opus-4.7,model_shift,0.5,CG-Static,5,99.76,0.53,100.0,98.81,100.0,99.75,16508,16550
